Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2057, eco5, 4, 174.35, 14.12, 45, 289, 0, 
2058, eco5, 4, 156.92, 14.49, 0, 320, 0, 
1979, eco6, 5, 96, 12.08, 76, 274, 0, 
1980, eco6, 5, 109.26, 11.51, 50, 285, 0, 
1981, eco6, 5, 88.55, 12.11, 76, 276, 0, 
1982, eco6, 5, 82.5, 13.02, 71, 289, 0, 
1983, eco6, 5, 118.52, 13.22, 61, 276, 0, 
1984, eco6, 5, 138.36, 12.06, 67, 286, 0, 
1985, eco6, 5, 120.79, 11.8, 77, 274, 0, 
1986, eco6, 5, 115.55, 12.67, 71, 282, 0, 
1987, eco6, 5, 135.14, 12.62, 63, 306, 0, 
1988, eco6, 5, 88.55, 12.11, 76, 276, 0, 
1989, eco6, 5, 159.24, 12.03, 86, 291, 0, 
1990, eco6, 5, 77.41, 11.66, 71, 267, 0, 
1991, eco6, 5, 96, 12.08, 76, 274, 0, 
1992, eco6, 5, 93.56, 11.95, 62, 281, 0, 
1993, eco6, 5, 96.96, 12.06, 79, 277, 0, 
1994, eco6, 5, 138.36, 12.06, 67, 286, 0, 
1995, eco6, 5, 111.55, 13.62, 52, 288, 0, 
1996, eco6, 5, 111.55, 13.62, 52, 288, 0, 
1997, eco6, 5, 109.26, 11.51, 50, 285, 0, 
1998, eco6, 5, 138.88, 12.14, 56, 280, 0, 
1999, eco6, 5, 92.61, 12.4, 66, 321, 0, 
2000, eco6, 5, 111.55, 13.62, 52, 288, 0, 
2001, eco6, 5, 109.26, 11.51, 50, 285, 0, 
2002, eco6, 5, 96.96, 12.06, 79, 277, 0, 
2003, eco6, 5, 88.55, 12.11, 76, 276, 0, 
2004, eco6, 5, 106.3, 12.85, 70, 291, 0, 
2005, eco6, 5, 97.04, 12.46, 70, 263, 0, 
2006, eco6, 5, 93.39, 12.4, 80, 272, 0, 
2007, eco6, 5, 112.54, 12.46, 76, 293, 0, 
2008, eco6, 5, 111.32, 13.22, 55, 284, 0, 
2009, eco6, 5, 136.88, 11.79, 67, 276, 0, 
2010, eco6, 5, 104.5, 12.34, 75, 291, 0, 
2011, eco6, 5, 122.75, 13.44, 0, 293, 0, 
2012, eco6, 5, 109.26, 11.51, 50, 285, 0, 
2013, eco6, 5, 93.39, 12.4, 80, 272, 0, 
2014, eco6, 5, 136.88, 11.79, 67, 276, 0, 
2015, eco6, 5, 117.33, 11.68, 68, 291, 0, 
2016, eco6, 5, 130.81, 12.22, 73, 298, 0, 
2017, eco6, 5, 111.32, 13.22, 55, 284, 0, 
2018, eco6, 5, 77.41, 11.66, 71, 267, 0, 
2019, eco6, 5, 97.04, 12.46, 70, 263, 0, 
2020, eco6, 5, 94.98, 12.62, 82, 304, 0, 
2021, eco6, 5, 94.98, 12.62, 82, 304, 0, 
2022, eco6, 5, 88.25, 13.31, 59, 296, 0, 
